id_contrat;Expo;type_produit;Statut_cloture;recup_tot_realise;lgd ;tx_recup_total_realisee;controle;duree ;date_entree_defaut;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24;M25;M26;M27;M28;M29;M30;M31;M32;M33;M34;M35;M36;M37;M38;M39;M40;M41;M42;M43;M44;M45;M46;M47;M48
755302489;3238; Classique ;clos;1106;0.31408276714021;0.68591723285979;1;48;2015;0;34;28;40;6;43;42;9;19;4;15;14;16;43;31;20;38;35;46;26;34;2;14;8;41;27;45;25;45;35;2;24;31;16;14;3;22;1;26;22;13;17;1;46;19;27;17;20
674795681;4216; Classique ;clos;1528;0.304316888045541;0.695683111954459;1;48;2015;115;36;11;34;59;28;51;8;39;47;46;9;9;42;47;1;36;57;31;13;31;21;18;26;19;61;14;29;4;5;16;46;32;58;20;40;59;11;43;0;51;50;17;23;53;4;21;37
685886254;6787; Classique ;clos;2519;0.319139531457198;0.680860468542802;1;48;2015;110;90;34;72;48;66;48;91;57;36;41;69;88;48;65;50;63;67;31;47;12;89;34;64;39;45;26;16;40;53;21;44;70;27;8;87;39;26;65;48;44;87;87;37;11;27;82;70
568876254;6899; Classique ;clos;2362;0.426438614291926;0.573561385708074;1;48;2015;43;30;78;56;64;69;18;41;78;38;68;67;81;63;31;28;68;44;50;48;15;27;59;34;39;54;68;21;32;48;79;62;3;75;53;66;19;26;0;70;52;53;82;12;82;53;49;66
138735943;2292; Facilities ;clos;751;0.342931937172775;0.657068062827225;1;48;2015;1;17;3;24;6;5;9;3;20;10;19;17;9;28;14;26;27;2;20;20;19;21;13;15;30;2;11;26;22;28;0;0;13;27;27;23;0;21;19;13;10;26;16;20;13;12;23;21
359687334;3367; Classique ;clos;1222;0.389070389070389;0.610929610929611;1;48;2015;24;37;38;27;29;22;9;26;33;31;25;2;14;38;14;39;31;26;31;24;26;32;20;39;19;17;21;31;42;41;18;38;26;19;38;29;20;14;20;11;39;32;2;30;20;24;30;4
742736047;3349; Classique ;clos;970;0.428486115258286;0.571513884741714;1;48;2015;10;6;11;25;4;0;17;21;24;39;10;37;28;37;3;12;19;9;36;35;27;1;38;32;10;24;21;16;22;24;12;34;11;26;33;6;34;22;7;30;7;33;21;12;12;11;31;30
997163632;7404; Classique ;clos;2432;0.377228525121556;0.622771474878444;1;48;2015;189;22;32;70;13;7;41;50;48;7;83;51;94;96;11;72;86;54;73;54;9;17;63;7;23;75;25;59;5;94;39;89;73;17;22;7;38;46;55;39;82;55;86;75;88;6;5;80
871012130;1065; Facilities ;clos;387;0.356807511737089;0.643192488262911;1;48;2015;7;12;4;1;2;7;3;13;13;14;4;4;10;5;14;11;10;5;10;1;14;13;6;1;12;14;11;0;14;13;12;0;2;3;14;11;14;12;2;13;6;7;1;8;6;11;14;3
907291746;5674; Classique ;clos;1606;0.443249911878745;0.556750088121255;1;48;2015;7;42;57;12;36;26;41;4;17;24;11;41;13;64;63;22;13;54;53;48;47;30;52;27;12;24;19;39;9;53;32;13;28;34;32;60;4;49;35;45;22;30;54;23;33;58;52;42
852839329;4908; Classique ;clos;1450;0.431744091279544;0.568255908720456;1;48;2015;46;36;11;30;6;58;20;9;36;37;40;9;17;30;49;44;43;58;7;39;31;9;45;4;37;17;36;4;39;4;58;56;49;0;46;8;22;15;46;48;55;56;3;49;15;6;46;21
692579954;3312; Classique ;clos;974;0.367149758454106;0.632850241545894;1;48;2015;13;13;8;23;37;23;23;1;37;14;1;41;0;33;4;42;33;37;17;33;21;4;27;10;26;1;14;17;33;22;37;32;16;34;19;17;20;35;23;19;25;4;3;16;9;39;16;2
444410308;5567; Classique ;clos;1365;0.478174959583259;0.521825040416741;1;48;2015;28;7;23;41;56;9;19;48;45;58;25;45;6;28;6;5;45;41;1;38;13;42;54;1;47;55;7;38;6;44;2;25;18;41;27;56;25;41;36;49;57;28;19;1;30;8;7;14
932162465;6695; Classique ;clos;2104;0.308289768483943;0.691710231516057;1;48;2015;1;72;39;79;36;36;31;15;90;15;81;27;23;9;38;38;14;44;25;82;1;34;21;11;87;56;20;16;13;92;6;90;90;66;55;9;3;28;83;52;76;41;63;79;66;16;68;67
484986260;2622; Facilities ;clos;657;0.465293668954996;0.534706331045004;1;48;2015;12;27;7;16;25;14;0;0;18;9;29;15;3;27;28;10;2;10;12;9;27;10;7;5;15;9;16;28;12;20;29;9;3;13;11;12;6;6;21;26;12;21;10;6;0;18;13;19
835750405;2431; Facilities ;clos;658;0.459070341423283;0.540929658576717;1;48;2015;19;12;15;23;9;2;23;25;16;8;20;15;3;1;21;10;27;4;0;16;14;9;16;0;10;22;14;14;14;1;8;4;10;16;15;12;26;1;25;20;19;24;15;11;23;0;22;24
439556507;1664; Facilities ;clos;563;0.322115384615385;0.677884615384615;1;48;2015;7;19;18;13;3;12;20;0;21;5;20;2;14;8;19;20;21;0;6;19;11;17;13;1;15;18;6;1;7;1;18;5;4;22;19;13;6;17;3;15;20;17;11;8;19;4;14;11
992780097;5633; Classique ;clos;1478;0.393928634830463;0.606071365169537;1;48;2015;34;25;5;8;43;69;21;7;39;6;0;39;1;26;4;32;3;55;39;22;67;53;12;50;56;70;48;51;52;25;31;48;32;24;47;13;44;70;8;13;7;22;48;27;16;11;4;51
362465051;3995; Classique ;clos;1010;0.456320400500626;0.543679599499374;1;48;2015;75;27;29;12;30;20;19;0;1;20;24;21;3;3;30;41;17;42;37;7;21;9;14;4;2;25;23;41;6;32;3;15;25;5;20;33;12;42;24;14;45;1;44;6;32;22;20;12
532632591;3261; Classique ;clos;956;0.481754063170806;0.518245936829194;1;48;2015;14;25;24;7;14;32;21;15;33;2;12;15;22;16;4;33;22;21;27;20;6;2;32;32;33;27;11;33;18;32;4;18;33;7;6;22;30;24;20;23;27;4;9;26;13;23;31;31
281761258;5984; Classique ;clos;1932;0.379679144385027;0.620320855614973;1;48;2015;22;53;56;76;68;58;21;59;68;74;64;63;61;25;36;6;63;47;7;64;51;56;17;61;12;13;38;55;1;10;55;42;21;9;35;45;50;26;41;31;42;29;61;26;60;12;7;35
390837066;2780; Facilities ;clos;741;0.481294964028777;0.518705035971223;1;48;2015;25;28;16;23;27;6;23;4;9;9;17;15;4;20;30;17;20;3;11;9;15;28;11;5;16;29;26;4;13;13;7;11;30;6;2;22;16;19;19;29;2;19;0;25;7;19;23;9
745365962;5284; Classique ;clos;1583;0.487320211960636;0.512679788039364;1;48;2015;14;20;4;38;22;45;51;28;49;8;17;35;39;18;27;15;19;30;50;56;35;45;47;6;47;13;41;48;33;54;50;31;10;52;47;18;29;13;51;10;21;19;51;51;34;53;47;42
774949565;7168; Classique ;clos;1881;0.459263392857143;0.540736607142857;1;48;2015;88;45;10;35;49;53;56;50;50;79;2;21;27;76;4;22;25;6;26;52;63;26;4;74;50;41;52;6;30;13;39;57;62;17;55;75;1;1;17;80;46;29;71;66;23;53;8;46
112162098;3307; Classique ;clos;909;0.437859086785606;0.562140913214394;1;48;2015;16;14;34;17;33;23;0;35;18;15;15;33;37;4;7;4;14;16;3;29;28;1;23;36;34;9;15;9;25;4;29;12;13;15;12;0;4;17;34;18;25;16;21;26;16;37;31;32
935390833;2462; Facilities ;clos;693;0.400081234768481;0.599918765231519;1;48;2015;16;8;0;8;30;2;1;11;10;14;28;17;6;12;15;18;16;20;19;18;24;28;18;24;19;7;2;17;22;12;26;4;21;0;3;26;24;28;19;30;11;1;1;5;19;21;12;0
906830764;6282; Classique ;clos;1676;0.367876472461;0.632123527539;1;48;2015;27;20;18;52;22;18;28;55;1;29;48;12;73;52;62;45;71;59;23;56;29;4;68;48;20;6;4;36;0;33;59;44;18;55;1;15;11;32;43;75;6;78;61;59;16;42;5;37
571503486;6541; Classique ;clos;2287;0.300718544565051;0.699281455434949;1;48;2015;25;27;36;70;39;8;83;94;53;78;44;36;55;89;54;55;52;23;37;28;47;91;36;62;71;76;42;72;33;32;47;20;38;94;39;53;52;42;2;29;39;87;32;13;33;93;25;1
422502581;3995; Classique ;clos;1245;0.405506883604506;0.594493116395494;1;48;2015;2;17;28;7;33;32;46;29;40;9;0;44;1;14;14;7;37;19;14;40;35;36;42;28;18;10;47;25;38;39;39;30;17;39;31;45;22;16;43;19;37;2;32;33;6;29;11;43
186518256;6358; Classique ;clos;1876;0.366152878263605;0.633847121736395;1;48;2015;134;64;39;46;12;39;19;60;77;10;72;8;3;48;51;46;25;42;23;23;31;60;44;48;8;12;39;53;75;21;61;4;35;61;0;33;71;7;7;30;41;54;67;19;61;1;34;58
943868421;3827; Classique ;clos;1298;0.374183433498824;0.625816566501176;1;48;2015;10;0;29;45;17;31;7;30;20;48;12;10;30;3;25;47;23;0;32;46;7;42;21;40;41;40;11;29;2;47;28;26;21;40;41;39;39;49;2;44;41;0;37;46;47;1;30;22
199713277;3476; Classique ;clos;1104;0.444188722669735;0.555811277330265;1;48;2015;79;30;4;24;32;27;14;29;21;32;24;39;32;32;15;16;12;24;32;18;13;2;35;27;15;33;36;18;21;37;28;0;25;7;9;21;35;19;1;29;18;5;14;11;20;36;37;16
675764915;6185; Classique ;clos;2152;0.325949878738884;0.674050121261116;1;48;2015;40;31;12;80;35;24;74;30;75;56;72;65;63;22;20;12;85;7;72;66;9;19;34;75;20;28;80;32;76;51;84;66;42;62;69;4;32;62;27;7;78;25;13;34;35;50;46;51
464966462;4524; Classique ;clos;1324;0.477011494252874;0.522988505747126;1;48;2015;19;35;17;45;40;48;40;10;33;27;15;25;24;40;14;42;11;33;22;20;11;30;21;42;19;40;13;15;39;44;8;39;25;33;41;12;23;41;36;22;0;12;48;39;28;32;32;19
727790896;6278; Classique ;clos;1614;0.329085696081555;0.670914303918445;1;48;2015;11;3;25;26;70;22;54;29;3;22;4;10;0;41;26;34;48;46;29;49;6;21;36;14;21;12;10;70;24;50;46;61;3;49;7;64;27;63;77;83;6;12;16;54;44;38;68;80
218792346;6905; Classique ;clos;1509;0.470963070238957;0.529036929761043;1;48;2015;88;20;1;26;52;10;29;72;2;18;53;71;32;22;43;9;60;13;25;51;2;35;2;55;5;47;53;20;0;48;45;30;32;13;26;41;69;48;19;5;47;16;53;18;24;55;0;4
278453790;5387; Classique ;clos;1803;0.35121589010581;0.64878410989419;1;48;2015;62;72;22;42;8;53;53;30;48;69;55;66;45;30;43;72;57;53;35;68;8;61;1;10;6;66;35;15;2;20;4;3;42;5;62;46;23;41;72;15;43;21;42;11;22;57;68;19
579923278;4123; Classique ;clos;1000;0.4656803298569;0.5343196701431;1;48;2015;3;15;23;39;1;8;18;3;13;31;23;5;30;16;15;0;39;15;27;32;11;21;7;39;9;9;2;10;1;5;30;42;36;18;45;3;43;29;16;40;19;26;42;40;30;35;2;34
902591524;6616; Classique ;clos;2181;0.351118500604595;0.648881499395405;1;48;2015;15;61;13;11;8;78;85;41;84;43;6;3;63;86;37;24;65;88;32;32;29;45;9;28;6;78;33;76;13;66;49;77;30;35;55;21;87;68;13;50;63;79;12;61;26;77;72;48
452155818;2597; Facilities ;clos;760;0.418944936465152;0.581055063534848;1;48;2015;34;1;12;30;16;12;26;3;5;17;10;28;8;15;21;5;30;28;15;11;26;12;31;31;26;29;1;9;19;2;6;23;1;9;6;17;28;31;1;5;23;9;7;14;22;13;24;8
965616772;6682; Classique ;clos;2213;0.360820113738402;0.639179886261598;1;48;2015;113;63;13;39;88;10;4;21;43;85;12;15;2;55;83;40;31;69;25;3;54;67;60;64;49;83;64;41;84;85;67;3;0;83;33;52;4;58;0;66;57;71;50;73;28;83;5;15
245518977;3435; Classique ;clos;1109;0.338282387190684;0.661717612809316;1;48;2015;9;15;4;44;28;39;25;9;8;6;41;23;7;31;8;27;44;46;21;22;30;29;47;42;15;8;43;26;20;17;21;23;35;32;2;33;39;2;13;28;34;18;11;14;18;0;23;29
387504243;2261; Facilities ;clos;489;0.49093321539142;0.50906678460858;1;48;2015;0;7;22;7;15;10;16;19;11;1;12;0;22;6;22;8;17;21;11;4;9;7;5;5;11;2;19;9;1;20;5;9;12;3;22;0;4;2;10;20;7;15;9;9;20;13;7;3
751809375;1248; Facilities ;clos;318;0.431089743589744;0.568910256410256;1;48;2015;0;6;0;13;13;11;6;4;11;10;2;0;11;7;0;4;3;12;2;14;2;10;4;11;5;4;6;13;1;5;13;12;0;3;13;9;8;14;11;8;11;2;1;7;2;5;2;7
580664994;1053; Facilities ;clos;309;0.379867046533713;0.620132953466287;1;48;2015;9;9;4;7;2;8;3;6;11;10;7;3;0;8;2;11;9;3;12;13;4;0;4;4;5;2;5;4;11;6;10;8;6;9;2;11;2;0;8;7;4;8;4;9;6;10;10;13
567249196;3932; Classique ;clos;1159;0.354272634791455;0.645727365208545;1;48;2015;3;45;12;1;1;15;34;38;41;20;35;36;36;25;51;43;5;1;48;50;12;5;6;1;39;18;44;22;47;52;28;18;48;49;2;46;16;43;3;27;9;35;0;7;25;0;13;4
521251847;4652; Classique ;clos;1214;0.412080825451419;0.587919174548581;1;48;2015;23;51;37;49;33;56;40;35;0;40;49;34;20;6;10;30;28;48;4;22;2;19;1;9;0;32;21;30;3;7;56;5;6;51;23;1;24;56;3;22;28;11;8;52;41;29;46;13
936404784;7134; Classique ;clos;2226;0.307541351275582;0.692458648724418;1;48;2015;3;48;54;13;51;51;29;6;12;46;85;17;74;54;15;62;23;61;29;32;10;62;57;59;80;76;27;41;85;85;11;24;80;68;34;28;34;98;90;20;22;45;45;74;54;15;63;74
199523248;1372; Facilities ;clos;372;0.481778425655977;0.518221574344023;1;48;2015;33;3;14;2;11;8;1;13;8;6;12;12;9;11;12;0;6;6;8;4;3;13;3;5;3;0;10;13;5;8;10;10;6;5;2;10;3;9;11;11;11;11;4;10;1;11;1;4
412361823;3936; Classique ;clos;1468;0.301321138211382;0.698678861788618;1;48;2015;54;23;11;22;6;28;44;36;25;9;20;13;53;57;32;55;5;29;37;47;54;39;18;47;22;14;9;3;26;57;5;48;25;6;19;9;56;51;24;18;53;47;56;37;5;47;17;50
819822751;5640; Classique ;clos;2107;0.332269503546099;0.667730496453901;1;48;2015;46;65;21;8;36;50;6;40;19;53;73;60;27;44;69;73;60;15;28;70;15;60;2;11;45;50;77;42;26;49;76;48;60;1;18;18;72;44;77;22;45;60;47;66;71;52;68;22
414017338;2909; Facilities ;clos;918;0.395324853901684;0.604675146098316;1;48;2015;20;33;34;7;16;28;2;13;28;17;29;18;4;25;8;1;23;26;18;4;12;13;15;23;10;15;16;33;7;22;16;18;33;30;10;34;24;8;26;30;4;36;32;26;31;1;30;9
478274170;3036; Classique ;clos;820;0.47562582345191;0.52437417654809;1;48;2015;16;28;9;28;33;29;0;13;10;23;31;16;14;3;0;4;13;4;17;32;33;19;24;8;5;11;17;18;17;18;19;18;7;22;33;16;13;31;30;18;4;5;30;7;27;22;9;16
175812832;1860; Facilities ;clos;434;0.490860215053763;0.509139784946237;1;48;2015;29;5;2;7;4;0;3;15;0;15;15;9;17;5;5;0;15;0;12;16;15;3;19;16;12;19;3;9;5;17;1;2;11;7;12;15;14;7;2;3;6;11;8;8;3;10;3;19
114304789;5155; Classique ;clos;1686;0.340252182347236;0.659747817652764;1;48;2015;7;10;67;30;24;67;33;20;23;11;8;58;42;45;47;21;13;60;17;4;33;28;38;27;43;26;46;54;52;59;2;50;15;62;21;32;49;60;5;57;44;64;57;62;30;24;18;21
752335812;3098; Classique ;clos;874;0.306649451258877;0.693350548741123;1;48;2015;18;10;9;32;21;31;26;40;5;8;20;29;9;30;41;34;3;6;10;32;11;21;12;0;26;14;10;27;41;35;14;4;9;12;16;10;39;11;4;25;6;12;17;18;31;17;1;17
900279899;4890; Classique ;clos;1224;0.452147239263804;0.547852760736196;1;48;2015;46;1;21;7;22;7;19;25;16;15;0;35;1;54;18;1;3;45;30;45;42;4;0;45;27;36;38;53;41;10;22;15;33;28;40;31;25;39;53;55;7;53;21;0;6;25;53;11
695363681;3414; Classique ;clos;1180;0.363210310486233;0.636789689513767;1;48;2015;55;3;26;10;31;45;1;24;24;7;26;25;23;23;18;28;37;4;3;7;43;19;42;41;45;37;26;45;43;0;7;25;42;9;44;4;32;28;0;44;8;41;12;32;17;16;30;28
